%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580572316726130376,823,1580572315708849188,,0,1,42.348818666666666,-71.08573333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572317730083294,824,1580572316725588607,,0,1,42.348864,-71.08575466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572318739184002,825,1580572317729557876,,0,1,42.348912,-71.08577066666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572319753941618,826,1580572318738752484,,0,1,42.34896533333333,-71.08579733333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572320759730163,827,1580572319753346052,,0,1,42.349018666666666,-71.08581866666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572321769689334,828,1580572320759247068,,0,1,42.34906933333333,-71.08584533333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572322780529028,829,1580572321769180455,,0,1,42.34911733333333,-71.085872,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572323789542332,830,1580572322780025779,,0,1,42.349168,-71.085904,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572324804017697,831,1580572323789014977,,0,1,42.349218666666665,-71.08592533333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572325809601325,832,1580572324803550589,,0,1,42.34926933333333,-71.08594666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572326824469172,833,1580572325809080896,,0,1,42.34932,-71.08596266666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
